true,pred
1.974522680471951092e-02,2.153908607653962776e-02
1.427620447674257387e-01,1.455314152146420237e-01
2.446886740737769517e-01,2.482109048225393799e-01
3.444062093752389697e-01,3.496639221083353011e-01
4.496429069389146216e-01,4.502743986689136668e-01
5.488874195032198422e-01,5.511999497872112075e-01
6.512390714501055111e-01,6.518566027853021083e-01
7.520540087367073578e-01,7.534204663959584991e-01
8.541361603113152290e-01,8.555748239900785590e-01
9.629939202541579757e-01,9.601321152035898754e-01
