true,pred
1.985719370727448072e-02,2.184038981868047929e-02
1.426555886502586523e-01,1.454030131480846533e-01
2.469225102136494432e-01,2.482489057564484791e-01
3.447324875896304319e-01,3.495981546783171745e-01
4.487282628875549073e-01,4.501793981661864619e-01
5.492009727288518217e-01,5.510333575640750103e-01
6.505261626497259586e-01,6.519500124630506210e-01
7.500840514571868178e-01,7.535066980155636918e-01
8.537734907035727794e-01,8.556329775868629639e-01
9.626536648052083089e-01,9.598552320875168853e-01
