true,pred
1.876484824087472011e-02,2.178785545873173843e-02
1.322225021501359510e-01,1.457210144063165458e-01
2.292712257494508854e-01,2.482765555888640785e-01
3.364796948307786639e-01,3.492788877904777767e-01
4.447843594814951951e-01,4.504808962525771454e-01
5.510373334737507234e-01,5.508987560486141577e-01
6.597864129947051959e-01,6.517501296580003878e-01
7.590479820437894265e-01,7.533362603311752892e-01
8.591114125994622208e-01,8.555863101243182944e-01
9.620113573483299874e-01,9.589237400199825956e-01
