true,pred
2.018687224028337113e-02,2.085123526392166152e-02
1.453231783393232890e-01,1.456311317370052594e-01
2.463606724538124071e-01,2.481601776294350692e-01
3.477221922454328262e-01,3.495910614648523596e-01
4.499369443709227978e-01,4.502392292396689699e-01
5.485542082227164995e-01,5.512572867409984978e-01
6.494934356453450075e-01,6.518208123555494504e-01
7.526986896484874068e-01,7.535010396233012830e-01
8.533850271188855308e-01,8.555311370619044231e-01
9.626097621169276142e-01,9.608681641674970964e-01
