RF,LGBM,XGB
9.160722047090530396e-02,3.386430678466076372e-02,1.596052199602127075e-02
1.345189940184354782e-02,7.628318584070796493e-02,7.116320542991161346e-03
8.852235041558742523e-03,4.858407079646017562e-02,4.512843210250139236e-03
1.201880816370248795e-02,5.112094395280235987e-02,6.108902394771575928e-03
9.462586604058742523e-03,3.138643067846607487e-02,4.088859539479017258e-03
9.330894052982330322e-02,8.398230088495575729e-02,6.138314679265022278e-02
2.258502990007400513e-01,2.280235988200590008e-02,7.287486642599105835e-02
1.453376747667789459e-02,5.294985250737463400e-02,5.722550675272941589e-03
7.216875441372394562e-03,3.292035398230088589e-02,4.424566403031349182e-03
9.497328661382198334e-03,5.973451327433628583e-02,5.418542306870222092e-03
8.689847774803638458e-03,4.498525073746312969e-02,5.403677932918071747e-03
7.265869528055191040e-03,2.064896755162241859e-02,4.654467571526765823e-03
4.363714251667261124e-03,6.755162241887905858e-03,3.278553485870361328e-03
9.748052805662155151e-03,4.654867256637167799e-02,5.578916519880294800e-03
7.071370724588632584e-03,8.790560471976401752e-03,4.145947750657796860e-03
1.274706982076168060e-02,3.253687315634218313e-02,3.329031635075807571e-03
1.271058712154626846e-02,3.112094395280235945e-02,3.028129460290074348e-03
1.333974953740835190e-02,3.297935103244837435e-02,3.325066994875669479e-03
1.330599747598171234e-02,3.185840707964601726e-02,3.141961758956313133e-03
3.075293898582458496e-01,1.669616519174041414e-02,7.303256392478942871e-01
2.521269954741001129e-02,1.088495575221238958e-02,3.415203886106610298e-03
1.466943882405757904e-02,4.772861356932153049e-02,6.131930742412805557e-03
4.339768365025520325e-02,5.581120943952802560e-02,2.446034178137779236e-02
1.383894961327314377e-02,5.775811209439528360e-02,4.821220878511667252e-03
2.030957490205764771e-02,6.126843657817108990e-02,7.348831743001937866e-03
