fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.046860622023644473e-06
0.000000000000000000e+00,1.999503788065160840e-04
9.908838684106223475e-07,1.999503788065160840e-04
9.908838684106223475e-07,3.182456290951878757e-04
1.981767736821244695e-06,3.182456290951878757e-04
1.981767736821244695e-06,1.096063071258755609e-03
2.972651605231866831e-06,1.096063071258755609e-03
2.972651605231866831e-06,1.681258158969972964e-03
3.963535473642489390e-06,1.681258158969972964e-03
3.963535473642489390e-06,1.857130743469945135e-03
4.954419342053111102e-06,1.857130743469945135e-03
4.954419342053111102e-06,1.873880513422323396e-03
5.945303210463733661e-06,1.873880513422323396e-03
5.945303210463733661e-06,1.894817725862796330e-03
6.936187078874356221e-06,1.894817725862796330e-03
6.936187078874356221e-06,2.045565655434201328e-03
7.927070947284978780e-06,2.045565655434201328e-03
7.927070947284978780e-06,2.231906846154409641e-03
8.917954815695600492e-06,2.231906846154409641e-03
8.917954815695600492e-06,2.708228429175168085e-03
9.908838684106222204e-06,2.708228429175168085e-03
9.908838684106222204e-06,2.876772989320974631e-03
1.089972255251684561e-05,2.876772989320974631e-03
1.089972255251684561e-05,3.494420756314925002e-03
1.189060642092746732e-05,3.494420756314925002e-03
1.189060642092746732e-05,3.504889362535161361e-03
1.288149028933808903e-05,3.504889362535161361e-03
1.288149028933808903e-05,3.554091811770272637e-03
1.387237415774871244e-05,3.554091811770272637e-03
1.387237415774871244e-05,3.652496710240495190e-03
1.486325802615933415e-05,3.652496710240495190e-03
1.486325802615933415e-05,3.710074044451795814e-03
1.585414189456995756e-05,3.710074044451795814e-03
1.585414189456995756e-05,3.880712325841649806e-03
1.684502576298057758e-05,3.880712325841649806e-03
1.684502576298057758e-05,4.063912934695787169e-03
1.783590963139120098e-05,4.063912934695787169e-03
1.783590963139120098e-05,4.638639416186768165e-03
1.882679349980182439e-05,4.638639416186768165e-03
1.882679349980182439e-05,5.000853191406948867e-03
1.981767736821244441e-05,5.000853191406948867e-03
1.981767736821244441e-05,5.162069727198590439e-03
2.080856123662306781e-05,5.162069727198590439e-03
2.080856123662306781e-05,5.373535572847366361e-03
2.179944510503369122e-05,5.373535572847366361e-03
2.179944510503369122e-05,5.432159767680690490e-03
