fpr,tpr
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.046860622023644473e-06
0.000000000000000000e+00,1.748257238779486115e-04
9.908838684106223475e-07,1.748257238779486115e-04
9.908838684106223475e-07,2.355436399553199965e-04
1.981767736821244695e-06,2.355436399553199965e-04
1.981767736821244695e-06,5.621641540266970839e-04
2.972651605231866831e-06,5.621641540266970839e-04
2.972651605231866831e-06,6.815062649373924628e-04
3.963535473642489390e-06,6.815062649373924628e-04
3.963535473642489390e-06,7.348961566605984128e-04
4.954419342053111102e-06,7.348961566605984128e-04
4.954419342053111102e-06,8.626131525474830305e-04
5.945303210463733661e-06,8.626131525474830305e-04
5.945303210463733661e-06,1.465604870833102152e-03
6.936187078874356221e-06,1.465604870833102152e-03
6.936187078874356221e-06,1.658227225285452801e-03
7.927070947284978780e-06,1.658227225285452801e-03
7.927070947284978780e-06,1.799553409258644729e-03
8.917954815695600492e-06,1.799553409258644729e-03
8.917954815695600492e-06,2.129314505196092631e-03
9.908838684106222204e-06,2.129314505196092631e-03
9.908838684106222204e-06,2.243422312996669939e-03
1.089972255251684561e-05,2.243422312996669939e-03
1.089972255251684561e-05,2.462216182999611702e-03
1.189060642092746732e-05,2.462216182999611702e-03
1.189060642092746732e-05,2.562714802713881267e-03
1.288149028933808903e-05,2.562714802713881267e-03
1.288149028933808903e-05,3.151050472291169573e-03
1.387237415774871244e-05,3.151050472291169573e-03
1.387237415774871244e-05,3.325876196169118455e-03
1.387237415774871244e-05,3.327969917413165467e-03
1.387237415774871244e-05,3.693324274499417553e-03
1.486325802615933415e-05,3.693324274499417553e-03
1.486325802615933415e-05,3.770791960529166955e-03
1.486325802615933415e-05,3.772885681773214400e-03
1.486325802615933415e-05,4.080662704648165863e-03
1.585414189456995756e-05,4.080662704648165863e-03
1.585414189456995756e-05,4.235598076707665534e-03
1.684502576298057758e-05,4.235598076707665534e-03
1.684502576298057758e-05,4.530812772118333193e-03
1.783590963139120098e-05,4.530812772118333193e-03
1.783590963139120098e-05,4.630264531210579251e-03
1.882679349980182439e-05,4.630264531210579251e-03
1.882679349980182439e-05,4.673185816713548192e-03
1.981767736821244441e-05,4.673185816713548192e-03
1.981767736821244441e-05,4.765309551451629710e-03
